0.0,1.0,0000000000000000,0,0.0
1.0,8.0,0000000000000001,1,0.0625
2.0,8.0,0000000000000010,1,0.0625
3.0,29.0,0000000000000011,2,0.125
4.0,8.0,0000000000000100,1,0.0625
5.0,29.0,0000000000000101,2,0.125
6.0,29.0,0000000000000110,2,0.125
7.0,64.0,0000000000000111,3,0.1875
8.0,8.0,0000000000001000,1,0.0625
9.0,29.0,0000000000001001,2,0.125
10.0,29.0,0000000000001010,2,0.125
11.0,64.0,0000000000001011,3,0.1875
12.0,29.0,0000000000001100,2,0.125
13.0,64.0,0000000000001101,3,0.1875
14.0,64.0,0000000000001110,3,0.1875
15.0,99.0,0000000000001111,4,0.25
16.0,8.0,0000000000010000,1,0.0625
17.0,29.0,0000000000010001,2,0.125
18.0,29.0,0000000000010010,2,0.125
19.0,64.0,0000000000010011,3,0.1875
20.0,29.0,0000000000010100,2,0.125
21.0,64.0,0000000000010101,3,0.1875
22.0,64.0,0000000000010110,3,0.1875
23.0,99.0,0000000000010111,4,0.25
24.0,29.0,0000000000011000,2,0.125
25.0,64.0,0000000000011001,3,0.1875
26.0,64.0,0000000000011010,3,0.1875
27.0,99.0,0000000000011011,4,0.25
28.0,64.0,0000000000011100,3,0.1875
29.0,99.0,0000000000011101,4,0.25
30.0,99.0,0000000000011110,4,0.25
31.0,120.0,0000000000011111,5,0.3125
32.0,8.0,0000000000100000,1,0.0625
33.0,29.0,0000000000100001,2,0.125
34.0,29.0,0000000000100010,2,0.125
35.0,64.0,0000000000100011,3,0.1875
36.0,29.0,0000000000100100,2,0.125
37.0,64.0,0000000000100101,3,0.1875
38.0,64.0,0000000000100110,3,0.1875
39.0,99.0,0000000000100111,4,0.25
40.0,29.0,0000000000101000,2,0.125
41.0,64.0,0000000000101001,3,0.1875
42.0,64.0,0000000000101010,3,0.1875
43.0,99.0,0000000000101011,4,0.25
44.0,64.0,0000000000101100,3,0.1875
45.0,99.0,0000000000101101,4,0.25
46.0,99.0,0000000000101110,4,0.25
47.0,120.0,0000000000101111,5,0.3125
48.0,29.0,0000000000110000,2,0.125
49.0,64.0,0000000000110001,3,0.1875
50.0,64.0,0000000000110010,3,0.1875
51.0,99.0,0000000000110011,4,0.25
52.0,64.0,0000000000110100,3,0.1875
53.0,99.0,0000000000110101,4,0.25
54.0,99.0,0000000000110110,4,0.25
55.0,120.0,0000000000110111,5,0.3125
56.0,64.0,0000000000111000,3,0.1875
57.0,99.0,0000000000111001,4,0.25
58.0,99.0,0000000000111010,4,0.25
59.0,120.0,0000000000111011,5,0.3125
60.0,99.0,0000000000111100,4,0.25
61.0,120.0,0000000000111101,5,0.3125
62.0,120.0,0000000000111110,5,0.3125
63.0,127.0,0000000000111111,6,0.375
64.0,8.0,0000000001000000,1,0.0625
65.0,29.0,0000000001000001,2,0.125
66.0,29.0,0000000001000010,2,0.125
67.0,64.0,0000000001000011,3,0.1875
68.0,29.0,0000000001000100,2,0.125
69.0,64.0,0000000001000101,3,0.1875
